ID,cluster,full_text,FAVORITE_C,QUOTE_C,REPLY_C,RETWEET_C,VIEWS_C
1652593630920470529,2,Het militair domein van Brustem staat dit weekend symbool voor onze defensie. #walkover #geenmiddelen #geenverantwoordelijkheid,282,5,68,28,32754.0
1735955963327214079,9,"De communisten en Samidoun-terroristenvrienden van PvdA zijn nu de grootste partij van Brussel. De vijfde colonne en haar donkerrode arm bezetten de hoofdstad van Europa. Antisemitisme viert hoogtij. De vernietiging van Israël boeit meer kiezers dan de torenhoge werkloosheid, https://t.co/JqI4s1aJV0",655,9,213,127,75548.0
1728767315943039263,9,"Gaza wordt gecontroleerd door een terroristische organisatie die zelfs de eigen bevolking, waaronder kinderen als menselijk schild misbruikt en vermoord om hun doel, de vernietiging van Israël, te bereiken. Molenbeek bevindt zich nog steeds in een democratisch, westers land dat… https://t.co/OVYfpsUPoL",604,21,210,93,50655.0
1728445754149061014,1,"Meneer De Croo, maak een vuist tegen Hamas, of je mist het om aan de juiste kant van de geschiedenis te staan.Enkele dagen geleden hebben we de vreselijke horrorfilm gezien van de massale afslachting op 7 oktober.Veel collega’s en mensen op sociale media hebben bewondering… https://t.co/010mmuVcBp",901,27,240,190,79955.0
1719296607374475582,5,"Deze kan anderzijds ook tellen @RudiVranckx. De VS  staan niet achter Israël vanwege gedeelde waarden, omdat het de enige democratie in de regio is, omdat Arabieren, vrouwen en LGBT er gelijke rechten hebben, omdat Israël zoveel bijdraagt op vlak van technologie, landbouw,… https://t.co/w2SpiNmxUG",404,16,181,78,86370.0
1701902589242044772,1,"@Nicole_demoor @vonderleyen Uw pact lost ten gronde niets op. Europese asielgrens blijft wagenwijd open staan. Smokkelaars blijven de baas. Controle 0. Shift van paradigma nodig, sluit asielloketten in Europa. Enkel resettlement op onze voorwaarden en decent georganiseerd. Stop de illegale migratie.…",155,0,10,9,5768.0
1720772190235132396,1,"When I was detained in Tehran in 1999 in the ayatollahs' prison,I could never have imagined that one could also be imprisoned in the West for the same reason.The day before yesterday, it was announced in the United States that they have a comprehensive plan to fight… https://t.co/tfMJXH6e7X",52410,1596,2907,17564,3527822.0
1728886151875121311,1,@Destexhe Merci cher Alain!,15,0,2,0,6442.0
1728885799083737135,1,@YasMohammedxx Thank you dear Yasmine ❤️,77,0,3,3,9836.0
1730199640241217822,1,The fact that the police contacts me to tell me that there have been death threats against me and that I should be careful and report any suspicious events around me is very tough. It honestly made me feel bad. Not that I’m scared but it is tough that every time you go out the… https://t.co/RmWq2vG5yo,7165,120,619,1446,362306.0
1749785478222446917,1,🚨 Protest!Meeting at 5 p.m. in front of the embassy of the Islamic regime of Iran. The world should not let this pass. Mohammad was one of many fighters for freedom and democracy. Do not abandon them!See you there!#Mohammadghobadloo #MohamadGhobadlou https://t.co/wzMvfN4Smk,605,3,16,194,8468.0
1749714841680371942,1,"The monstrous Ayatollahs regime did execute Mohammad Ghobadloo today. He was barely 23. His ""crime""? Fighting for democracy, freedom and a better life in Iran. They executed him but it will not calm the soul of the Iranian people. Iranians will push to the end so that this… https://t.co/Od9nliCnzM",1416,23,60,501,26134.0
1749522998355276217,1,"Urgent! 🚨 Mohammad Ghobadloo, 23, an Iranian protester who was arrested during the protests in 2022 following the death of Mahsa Amini, is facing execution on 23 January. A young man who yearned for basic freedom.Please be his voice! #MohammadGhobadloo https://t.co/0nl8Coam5b",2113,41,61,1027,35713.0
1749518151966982262,1,Graag druk zetten @hadjalahbib. #mohammadghobadloo.,584,13,55,310,25157.0
1749060023584526508,1,"This is the flag of the Houthis.Their flag literally reads:""God is the greatest""""Death to America""""Death to Israel""""A curse upon the Jews""""Victory to Islam""It doesn't surprise me. These are the slogans of the Iranian regime that we had to chant in school every morning… https://t.co/GmIMYC1qDY",678,12,70,235,23736.0
1747575990354575732,2,Never surrender. Who dares wins. Nieuwjaarsreceptie van onze Special Forces Group. Erg trots op onze militairen. In de huidige globale context hebben we meer dan ooit nood aan een sterke defensie.Klaar voor de huidige en komende bedreigingen.De politiek moet ervoor zorgen… https://t.co/IxysYf6iew,218,2,14,16,9384.0
